Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-777841,A1044865,,9/28/2018,04:12.4,,,,1,,,T18-777840,,,SEP.2018,FY2018
T18-779539,A1045002,,9/29/2018,29:04.0,,,,1,,,T18-779536,,,SEP.2018,FY2018
T18-767330,A1014334,,9/19/2018,06:28.9,,,,1,,,T18-767329,,,SEP.2018,FY2018
T18-770021,A1044121,,9/20/2018,52:43.7,,,,1,,,T18-770019,,,SEP.2018,FY2018
T18-774063,A1044524,,9/25/2018,15:35.2,,,,1,,,T18-774060,,,SEP.2018,FY2018
T18-771993,A1041742,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,15:31:00,LV,,,,1,,T18-771993,EXAM-VISUAL,,SEP.2018,FY2018
T18-772439,A1044357,,9/23/2018,08:51.0,,,,1,,,T18-772435,,,SEP.2018,FY2018
T18-747527,A1041989,,8/31/2018,10:20:42,,HEARTWORM TEST,NEGATIVE,,,,T18-747526,,,AUG.2018,FY2018
T18-761425,A1043281,,9/13/2018,47:15.1,,,,1,,,T18-761419,,,SEP.2018,FY2018
T18-776615,A1044769,,9/27/2018,49:57.2,,,,1,,,T18-776612,,,SEP.2018,FY2018
T18-780297,A1044882,,9/30/2018,47:51.0,,HEARTWORM TEST,NEGATIVE,,,,T18-780291,,,SEP.2018,FY2018
T18-746818,A1040494,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/30/2018,14:24:00,AG,,,,,,T18-746818,EXAM-VET,,AUG.2018,FY2018
T18-780590,A1045106,,9/30/2018,06:01.8,,MICROCHIP (24HR PET WATCH),,,,,T18-780578,,,SEP.2018,FY2018
T18-769193,A1041742,TREATABLE REHABILITABLE CONTAGIOUS,9/20/2018,13:39:00,AG,,,,,,T18-769193,EXAM-VET,,SEP.2018,FY2018
T18-769674,A1043853,,9/20/2018,26:18.6,,,,1,,,T18-769670,,,SEP.2018,FY2018
T18-779894,A1044961,,9/29/2018,45:27.2,,HEARTWORM TEST,NEGATIVE,,,,T18-779892,,,SEP.2018,FY2018
T18-777707,A1044826,,9/27/2018,59:47.0,,,,1,,,T18-777704,,,SEP.2018,FY2018
T18-768036,A1043994,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,15:47:00,MM1748,,,,11.4,,T18-768036,INTAKE EXAM,,SEP.2018,FY2018
T18-762811,A1041741,,9/14/2018,25:46.7,,,,1,,,T18-762808,,,SEP.2018,FY2018
T18-776474,A1044759,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,21:15:00,LHAYES,,,,5.2,,T18-776474,INTAKE EXAM,,SEP.2018,FY2018
T18-780738,A1039538,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,17:16:00,AG2,,,,19.8,,T18-780738,INTAKE EXAM,,SEP.2018,FY2018
T18-699403,A1037586,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/21/2018,13:33:00,PA,,,,2.3,,T18-699403,SURGERY-,,JUL.2018,FY2018
T18-778893,A1044935,,9/28/2018,26:10.8,,,,1,,,T18-778892,,,SEP.2018,FY2018
T18-775296,A1044649,,9/25/2018,03:36.0,,,,1,,,T18-775294,,,SEP.2018,FY2018
T18-778898,A1044935,,9/28/2018,26:58.0,,FELV FIV COMBO,FELV & FIV NEGA,,,,T18-778892,,,SEP.2018,FY2018
T18-762415,A1043430,,9/14/2018,12:39.1,,,,1,,,T18-762414,,,SEP.2018,FY2018
T18-776304,A1044734,UNKNOWN,9/26/2018,17:49:00,,,,,,,T18-776304,VET CHECK,,SEP.2018,FY2018
T18-768079,A1043991,,9/19/2018,23:03.2,,,,1,,,T18-768066,,,SEP.2018,FY2018
T18-778967,A1044956,,9/29/2018,19:00.7,,,,1,,,T18-778965,,,SEP.2018,FY2018
T18-674393,A1035128,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/29/2018,14:01:00,VL/OB,,,,11,,T18-674393,INTAKE EXAM,,JUN.2018,FY2018
T18-778778,A1044778,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,16:52:00,LS,,,,58.2,,T18-778778,EXAM - ADOPTION,,SEP.2018,FY2018
T18-775299,A1044650,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,22:16:00,WH1740,,,,76.4,,T18-775299,INTAKE EXAM,,SEP.2018,FY2018
T18-765531,A1043729,,9/17/2018,25:59.7,,MICROCHIP (24HR PET WATCH),,,,,T18-765527,,,SEP.2018,FY2018
T18-729896,A1040494,TREATABLE REHABILITABLE CONTAGIOUS,8/15/2018,17:12:00,LV,,,,1,,T18-729896,HEALTH MAINTENANCE,RESPIRATORY,AUG.2018,FY2018
T18-777351,A1043590,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,15:44:00,LV,,,,10,,T18-777351,MEDICAL REVIEW,,SEP.2018,FY2018
T18-758142,A1042975,,9/10/2018,33:42.2,,,,1,,,T18-758037,,,SEP.2018,FY2018
T18-779577,A1045004,,9/29/2018,48:40.0,,,,1,,,T18-779570,,,SEP.2018,FY2018
T18-779789,A1045035,,9/29/2018,47:59.5,,,,1,,,T18-779778,,,SEP.2018,FY2018
T18-776609,A1044772,,9/27/2018,45:36.1,,,,1,,,T18-776607,,,SEP.2018,FY2018
T18-773196,A1044464,,9/24/2018,23:26.8,,,,1,,,T18-773192,,,SEP.2018,FY2018
T18-648361,A1012968,,6/6/2018,52:34.0,,,,1,,,T18-648358,,,JUN.2018,FY2018
T18-761848,A1043245,,9/13/2018,42:55.2,,MICROCHIP (24HR PET WATCH),,,,,T18-761844,,,SEP.2018,FY2018
T18-769436,A1044078,,9/20/2018,45:50.3,,,,1,,,T18-768798,,,SEP.2018,FY2018
T18-780379,A1044957,UNKNOWN,9/30/2018,14:15:00,,,,,,,T18-780379,VET CHECK,,SEP.2018,FY2018
T18-772293,A1044344,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,17:54:00,NG,,,,4.2,,T18-772293,INTAKE EXAM,,SEP.2018,FY2018
T18-777656,A1044647,,9/27/2018,35:17.6,,,,1,,,T18-777638,,,SEP.2018,FY2018
T18-780753,A1045119,,9/30/2018,25:44.4,,,,1,,,T18-780751,,,SEP.2018,FY2018
T18-761363,A1040389,UNKNOWN,9/13/2018,14:24:00,LY,,,,,,T18-761363,VET CHECK,,SEP.2018,FY2018
T18-777039,A1041593,,9/27/2018,02:20.5,,,,1,,,T18-777038,,,SEP.2018,FY2018
T18-779582,A1044987,,9/29/2018,54:53.9,,,,1,,,T18-779580,,,SEP.2018,FY2018
T18-738155,A1041213,,8/22/2018,51:25.0,,,,1,,,T18-738150,,,AUG.2018,FY2018
T18-771087,A1044240,,9/21/2018,24:17.5,,,,1,,,T18-771078,,,SEP.2018,FY2018
T18-656532,A1033099,,6/13/2018,38:21.0,,,,1,,,T18-656511,,,JUN.2018,FY2018
T18-768565,A1044039,,9/19/2018,08:59.4,,,,1,,,T18-768563,,,SEP.2018,FY2018
T18-767245,A1042457,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,10:38:00,SR,,,,58,,T18-767245,EXAM,,SEP.2018,FY2018
T18-761423,A1043281,,9/13/2018,47:07.4,,,,1,,,T18-761419,,,SEP.2018,FY2018
T18-767355,A1043558,,9/19/2018,17:12.7,,,,1,,,T18-767351,,,SEP.2018,FY2018
T18-780686,A1029751,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,16:31:00,NG,,,,50,,T18-780686,INTAKE EXAM,,SEP.2018,FY2018
T18-775963,A1044521,,9/26/2018,49:31.1,,,,1,,,T18-775958,,,SEP.2018,FY2018
T18-745073,A1040394,TREATABLE REHABILITABLE CONTAGIOUS,8/29/2018,11:32:00,AG,,,,48,,T18-745073,MEDICAL REVIEW,,AUG.2018,FY2018
T18-698739,A1037586,,7/20/2018,15:23.9,,,,1,,,T18-698728,,,JUL.2018,FY2018
T18-773849,A1044530,,9/24/2018,29:41.0,,,,1,,,T18-773846,,,SEP.2018,FY2018
T18-710522,A1038741,,7/31/2018,53:23.5,,,,1,,,T18-710512,,,JUL.2018,FY2018
T18-765843,A1040840,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,9:37:00,,,,,,,T18-765843,INTAKE EXAM,,SEP.2018,FY2018
T18-776844,A1044450,,9/27/2018,44:42.4,,,,1,,,T18-776838,,,SEP.2018,FY2018
T18-778514,A1044768,,9/28/2018,11:04.0,,,,14,,,T18-778497,,,SEP.2018,FY2018
T18-763715,A1043521,UNKNOWN,9/15/2018,14:37:00,,,,,,,T18-763715,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-562246,A1023178,,3/5/2018,23:49.0,,,,1,,,T18-562242,,,MAR.2018,FY2018
T18-759909,A1043188,,9/12/2018,06:58.3,,,,1,,,T18-759908,,,SEP.2018,FY2018
T18-775576,A1044608,,9/26/2018,36:37.1,,HEARTWORM TEST,NEGATIVE,,,,T18-775572,,,SEP.2018,FY2018
T18-770670,A1044208,,9/21/2018,20:52.8,,,,1,,,T18-770668,,,SEP.2018,FY2018
T18-757538,A1042912,,9/10/2018,06:06.6,,,,1,,,T18-757533,,,SEP.2018,FY2018
T18-776008,A1038117,,9/26/2018,57:42.9,,,,1,,,T18-775999,,,SEP.2018,FY2018
T18-755034,A1039622,TREATABLE REHABILITABLE CONTAGIOUS,9/7/2018,14:34:00,AG,,,,,,T18-755034,EXAM-VISUAL,,SEP.2018,FY2018
T18-775999,A1038117,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,13:56:00,PA,,,,2.4,,T18-775999,SURGERY-,,SEP.2018,FY2018
T18-780530,A1045083,,9/30/2018,27:21.6,,,,1,,,T18-780528,,,SEP.2018,FY2018
T18-604937,A0776646,,4/23/2018,03:05.3,,,,1,,,T18-604931,,,APR.2018,FY2018
T18-729037,A1040389,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/15/2018,12:33:00,SR/ER,,,,46.2,,T18-729037,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-753379,A1041560,,9/6/2018,38:43.0,,,,1,,,T18-753374,,,SEP.2018,FY2018
T18-779330,A1044657,,9/29/2018,14:47.1,,,,3,,,T18-779315,,,SEP.2018,FY2018
T18-778750,A1043325,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,16:41:00,LV,,,,50.4,,T18-778750,MEDICAL REVIEW,,SEP.2018,FY2018
T18-767505,A1041629,,9/19/2018,12:33.1,,,,1,,,T18-767503,,,SEP.2018,FY2018
T18-773936,A1044528,,9/24/2018,54:28.7,,,,1,,,T18-773933,,,SEP.2018,FY2018
T18-776262,A1044665,,9/26/2018,48:43.2,,,,1,,,T18-776260,,,SEP.2018,FY2018
T18-776305,A1044733,UNKNOWN,9/26/2018,17:49:00,,,,,,,T18-776305,VET CHECK,,SEP.2018,FY2018
T18-780030,A1045070,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,1:27:00,LHAYES,,,,57,,T18-780030,INTAKE EXAM,,SEP.2018,FY2018
T18-768021,A1042474,,9/19/2018,39:40.9,,,,1,,,T18-768020,,,SEP.2018,FY2018
