Treatment_Number,Animal_ID,Condition_Type,Treatment_Date,Treatment_Time,Treatment_By,Treatment_Type,Treatment_Subtype,Number_of_Days,Weight,Temperature,Visit_Number,Visit_Type,Visit_Reason,Month,Year
T19-959428,A1063361,,04/07/2019,00:11:48.603000,,,,1,,,T19-959426,,,APR.2019,FY2019
T19-959426,A1063361,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,00:11:00,,,,,,,T19-959426,INTAKE EXAM,,APR.2019,FY2019
T19-959429,A1063361,,04/07/2019,00:11:59.013000,,,,1,,,T19-959426,,,APR.2019,FY2019
T19-953533,A1062758,,03/31/2019,12:48:15.473000,,,,1,,,T19-953532,,,MAR.2019,FY2019
T19-959427,A1063361,,04/07/2019,00:11:38.300000,,,,1,,,T19-959426,,,APR.2019,FY2019
T19-959435,A1063353,,04/07/2019,01:12:09.947000,,,,1,,,T19-959434,,,APR.2019,FY2019
T19-959434,A1063353,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,01:11:00,,,,,,,T19-959434,INTAKE EXAM,,APR.2019,FY2019
T19-924774,A0759460,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/27/2019,23:20:00,RK1765,,,,64.2,,T19-924774,INTAKE EXAM,,FEB.2019,FY2019
T19-959432,A1063360,,04/07/2019,00:40:02.490000,,,,1,,,T19-959430,,,APR.2019,FY2019
T19-959431,A1063360,,04/07/2019,00:39:54.103000,,,,1,,,T19-959430,,,APR.2019,FY2019
T19-959436,A1063353,,04/07/2019,01:12:18.120000,,,,1,,,T19-959434,,,APR.2019,FY2019
T19-959433,A1063360,,04/07/2019,00:40:14.423000,,,,1,,,T19-959430,,,APR.2019,FY2019
T19-959430,A1063360,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,00:39:00,,,,,,,T19-959430,INTAKE EXAM,,APR.2019,FY2019
T19-924768,A1059604,,02/27/2019,23:06:56.143000,,,,1,,,T19-924764,,,FEB.2019,FY2019
T19-959437,A1063353,,04/07/2019,01:12:29.983000,,,,1,,,T19-959434,,,APR.2019,FY2019
T19-959441,A1063363,,04/07/2019,01:32:58.007000,,,,1,,,T19-959438,,,APR.2019,FY2019
T19-924764,A1059604,TREATABLE REHABILITABLE NON-CONTAGIOUS,02/27/2019,23:06:00,,,,,,,T19-924764,INTAKE EXAM,,FEB.2019,FY2019
T19-924776,A0759460,,02/27/2019,23:21:01.993000,,,,1,,,T19-924774,,,FEB.2019,FY2019
T19-959440,A1063363,,04/07/2019,01:32:49.087000,,,,1,,,T19-959438,,,APR.2019,FY2019
T19-924765,A1059604,,02/27/2019,23:06:39.367000,,,,1,,,T19-924764,,,FEB.2019,FY2019
T19-959439,A1063363,,04/07/2019,01:32:40.913000,,,,1,,,T19-959438,,,APR.2019,FY2019
T19-924767,A1059604,,02/27/2019,23:06:50.037000,,,,1,,,T19-924764,,,FEB.2019,FY2019
T19-947629,A1059940,UNKNOWN,03/25/2019,13:52:00,AG,,,,,,T19-947629,VET CHECK,,MAR.2019,FY2019
T19-953534,A1062758,,03/31/2019,12:48:21.960000,,,,1,,,T19-953532,,,MAR.2019,FY2019
T19-959438,A1063363,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,01:32:00,,,,,,,T19-959438,INTAKE EXAM,,APR.2019,FY2019
T19-959443,A1063372,,04/07/2019,02:54:00.073000,,,,1,,,T19-959442,,,APR.2019,FY2019
T19-959445,A1063372,,04/07/2019,02:54:12.133000,,,,1,,,T19-959442,,,APR.2019,FY2019
T19-953587,A1062763,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/31/2019,13:21:00,LS,,,,8.6,,T19-953587,EXAM - ADOPTION,,MAR.2019,FY2019
T19-959449,A1063374,,04/07/2019,03:10:32.313000,,,,1,,,T19-959446,,,APR.2019,FY2019
T19-959442,A1063372,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,02:53:00,LHAYES,,,,,,T19-959442,INTAKE EXAM,,APR.2019,FY2019
T19-959447,A1063374,,04/07/2019,03:10:16.447000,,,,1,,,T19-959446,,,APR.2019,FY2019
T19-941126,A1061359,,03/18/2019,18:04:01.580000,,,,1,,,T19-941124,,,MAR.2019,FY2019
T19-959448,A1063374,,04/07/2019,03:10:23.023000,,,,1,,,T19-959446,,,APR.2019,FY2019
T19-959446,A1063374,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,03:09:00,LHAYES,,,,,,T19-959446,INTAKE EXAM,,APR.2019,FY2019
T19-924775,A0759460,,02/27/2019,23:20:55.427000,,,,1,,,T19-924774,,,FEB.2019,FY2019
T19-959444,A1063372,,04/07/2019,02:54:04.243000,,,,1,,,T19-959442,,,APR.2019,FY2019
T19-959457,A1063376,,04/07/2019,03:47:31.213000,,,,1,,,T19-959454,,,APR.2019,FY2019
T19-959451,A1063375,,04/07/2019,03:34:45.680000,,,,1,,,T19-959450,,,APR.2019,FY2019
T19-924777,A0759460,,02/27/2019,23:21:11.803000,,,,1,,,T19-924774,,,FEB.2019,FY2019
T19-959454,A1063376,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/07/2019,03:47:00,LHAYES,,,,,,T19-959454,INTAKE EXAM,,APR.2019,FY2019
